it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.42857142857142855,0.0,0.0,0.0,0.11538461538461539,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.038461538461538464,0.0,0.038461538461538464,0.0,0.022727272727272728,0.017857142857142856
2,0.08108108108108109,0.0,0.0,0.06060606060606061,0.3181818181818182,0.05970149253731343,0.0,0.06060606060606061,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.07142857142857142,0.03636363636363636
3,0.02040816326530612,0.027777777777777776,0.0,0.0,0.02631578947368421,0.125,0.02857142857142857,0.022727272727272728,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.018518518518518517,0.0
4,0.0,0.0,0.0,0.0,0.047619047619047616,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.03225806451612903,0.0,0.0,0.0,0.05,0.016129032258064516,0.0,0.0,0.0,0.08333333333333333,0.058823529411764705,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05714285714285714,0.020833333333333332
6,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.1111111111111111,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0
7,0.030303030303030304,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0
8,0.05128205128205128,0.07692307692307693,0.038461538461538464,0.09090909090909091,0.07142857142857142,0.02857142857142857,0.17391304347826086,0.125,0.07692307692307693,0.0,0.038461538461538464,0.0,0.07692307692307693,0.0,0.037037037037037035,0.0,0.09523809523809523,0.07407407407407407
9,0.022727272727272728,0.03225806451612903,0.06896551724137931,0.08108108108108109,0.030303030303030304,0.0,0.0,0.2903225806451613,0.03225806451612903,0.0,0.14814814814814814,0.037037037037037035,0.03225806451612903,0.038461538461538464,0.03225806451612903,0.0,0.041666666666666664,0.05084745762711865
10,0.0,0.0,0.058823529411764705,0.0,0.05,0.016129032258064516,0.0,0.038461538461538464,0.5833333333333334,0.08333333333333333,0.125,0.0,0.05555555555555555,0.0,0.0,0.0,0.027777777777777776,0.0425531914893617
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
12,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.11538461538461539,0.05,0.07142857142857142,0.6666666666666666,0.0,0.05,0.0,0.05,0.0,0.02631578947368421,0.02
13,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
14,0.03225806451612903,0.0,0.058823529411764705,0.0,0.05,0.016129032258064516,0.0,0.038461538461538464,0.05555555555555555,0.0,0.058823529411764705,0.0,0.5833333333333334,0.0,0.05555555555555555,0.0,0.027777777777777776,0.020833333333333332
15,0.0,0.05263157894736842,0.0,0.0,0.0,0.04918032786885246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.02702702702702703,0.0
16,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.06666666666666667,0.041666666666666664,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.021739130434782608
17,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.029411764705882353,0.0
18,0.02127659574468085,0.0,0.0,0.075,0.027777777777777776,0.01282051282051282,0.0,0.04878048780487805,0.0,0.03571428571428571,0.030303030303030304,0.0,0.029411764705882353,0.0,0.029411764705882353,0.03125,0.5142857142857142,0.04838709677419355
19,0.0425531914893617,0.0,0.0,0.0,0.05555555555555555,0.03896103896103896,0.029411764705882353,0.023255813953488372,0.0,0.0,0.0,0.0,0.02857142857142857,0.03333333333333333,0.02857142857142857,0.0,0.018867924528301886,0.24528301886792453
20,0.0425531914893617,0.0,0.0,0.047619047619047616,0.05555555555555555,0.03896103896103896,0.0,0.1,0.058823529411764705,0.0,0.029411764705882353,0.0,0.02857142857142857,0.03333333333333333,0.058823529411764705,0.0,0.058823529411764705,0.2222222222222222
