de.fr,1,2,3,4,5
1,0.07453559924999299,0.28867513459481287,0.0,0.0,0.0
2,0.48795003647426655,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.11952286093343936,0.29999999999999993
5,0.0,0.0,0.08058229640253803,0.16116459280507606,0.26967994498529685
6,0.0,0.0,0.18898223650461363,0.12598815766974242,0.05270462766947299
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
