de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.3170731707317073,0.0,0.0,0.020833333333333332,0.075,0.036585365853658534,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.025,0.02857142857142857,0.025,0.0,0.017241379310344827,0.05970149253731343
2,0.0,0.06666666666666667,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0
3,0.030303030303030304,0.05,0.0,0.11538461538461539,0.045454545454545456,0.015625,0.05263157894736842,0.11538461538461539,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0625
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.16666666666666666,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.02040816326530612
6,0.038461538461538464,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.14285714285714285,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0
7,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.3,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.047619047619047616,0.07692307692307693,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.03225806451612903,0.0
13,0.0,0.0,0.0,0.0,0.0,0.03076923076923077,0.0,0.03333333333333333,0.0,0.0,0.047619047619047616,0.0,0.0,0.058823529411764705,0.15,0.0,0.0,0.0392156862745098
14,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.030303030303030304,0.0
15,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.05263157894736842,0.08108108108108109,0.04
16,0.02631578947368421,0.0,0.0,0.030303030303030304,0.037037037037037035,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.023255813953488372,0.16666666666666666
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.09090909090909091,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.023809523809523808
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.07407407407407407
