de.en,1,2,3,4,5,6
1,0.04,0.0,0.0,0.0,0.041666666666666664,0.0
2,0.0,0.0,0.02631578947368421,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.05555555555555555,0.0,0.0,0.0,0.0
5,0.0,0.13636363636363635,0.0,0.0,0.0,0.0
6,0.03225806451612903,0.0,0.02040816326530612,0.0625,0.0,0.02702702702702703
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.125,0.0,0.0,0.03571428571428571,0.04,0.13793103448275862
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.043478260869565216,0.0,0.0,0.0,0.0
11,0.0625,0.0,0.0,0.05555555555555555,0.0,0.0
12,0.10526315789473684,0.0,0.0,0.045454545454545456,0.0,0.0
13,0.0,0.0,0.0,0.0,0.05,0.0
14,0.0,0.0,0.0,0.0,0.0,0.04
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
