it.en,1,2,3,4,5,6,7,8,9
1,0.05405405405405406,0.030303030303030304,0.11428571428571428,0.06666666666666667,0.0,0.03225806451612903,0.03225806451612903,0.0,0.027777777777777776
2,0.0,0.07142857142857142,0.05263157894736842,0.0,0.23529411764705882,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
4,0.03571428571428571,0.0,0.0,0.047619047619047616,0.0,0.0,0.1,0.0,0.08
5,0.038461538461538464,0.047619047619047616,0.0,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.043478260869565216,0.08695652173913043
6,0.0,0.05,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.09523809523809523,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.06666666666666667,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.05555555555555555
9,0.02127659574468085,0.0,0.0,0.025,0.0,0.025,0.0,0.022727272727272728,0.022222222222222223
10,0.011904761904761904,0.02564102564102564,0.011904761904761904,0.0,0.011764705882352941,0.012987012987012988,0.012987012987012988,0.0,0.0
