it.fr,1,2,3,4,5,6,7
1,0.047619047619047616,0.12121212121212122,0.10344827586206896,0.0,0.0,0.0,0.02857142857142857
2,0.041666666666666664,0.058823529411764705,0.0,0.21052631578947367,0.0,0.0,0.0
3,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0
4,0.030303030303030304,0.0,0.047619047619047616,0.0,0.1,0.0,0.04
5,0.03225806451612903,0.0,0.05263157894736842,0.0,0.0,0.047619047619047616,0.09090909090909091
6,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.019230769230769232,0.0,0.025,0.02,0.0,0.023809523809523808,0.022727272727272728
10,0.011235955056179775,0.012195121951219513,0.012987012987012988,0.011494252873563218,0.0,0.0,0.0
